name,station,sensor,lat,lon,date_time,salinity,bad_station
"Mayport (Bar Pilots Dock), FL",8720218,SALINITY,30.3967,-81.43,2016-02-27T12:00:00Z,15.99,False
"Dames Point, FL",8720219,SALINITY,30.3867,-81.5583,2016-02-27T12:00:00Z,6.47,False
"Jacksonville University, FL",8720245,SALINITY,30.3541,-81.6118,2016-02-27T12:00:00Z,1.42,False
"I-295 Bridge, St Johns River, FL",8720357,SALINITY,30.1917,-81.6917,2016-02-27T12:00:00Z,0.46,False
"Red Bay Point, St Johns River, FL",8720503,SALINITY,29.9783,-81.6283,2016-02-27T12:00:00Z,0.2,False
"Racy Point, St Johns River, FL",8720625,SALINITY,29.8017,-81.5483,2016-02-27T12:00:00Z,0.43,False
Tolomato River station,fldep.tolomatoriver.,NA,29.9947223663,-81.3295593262,2016-00-27T12:00:00Z,28.0657539368,False
Fort Myers station,sccf.fortmyers.wq,NA,26.6493396759,-81.8809661865,2016-00-27T12:00:00Z,0.188043490052,False
Gulf of Mexico station,sccf.gulfofmexico.wq,NA,26.4430294037,-81.9711914062,2016-00-27T12:00:00Z,29.971540451,False
St Lucie Inlet station,fldep.stlucieinlet.,NA,27.1652774811,-80.1627807617,2016-00-27T12:00:00Z,30.2297496796,False
Redfish Pass station,sccf.redfishpass.wq,NA,26.5615692139,-82.1754379272,2016-00-27T12:00:00Z,31.1375732422,False
"CAROCOOPS FRP2, Fripp Nearshore, SC",carocoops.frp2.buoy,NA,32.2700004578,-80.4000015259,2016-00-27T12:00:00Z,30.9343643188,False
usf_c10_imet,usf.c10.imet,NA,27.1730003357,-82.9240036011,2016-35-27T11:35:00Z,-121.286888123,False
"CORMP ILM2, Wrightsville Beach Nearshore, NC",cormp.ilm2.buoy,NA,34.1333007812,-77.7166976929,2016-53-27T11:53:00Z,33.9450302124,False
Bing's Landing station,fldep.bingslanding.,NA,29.6154174805,-81.2049179077,2016-00-27T12:00:00Z,28.9237251282,False
"CAROCOOPS CAP2, Capers Island Nearshore, SC",carocoops.cap2.buoy,NA,32.7999992371,-79.6200027466,2016-08-27T12:08:00Z,24.1061115265,False
Shell Point station,sccf.shellpoint.wq,NA,26.5225639343,-82.0079879761,2016-00-27T12:00:00Z,14.4128141403,False
"CAROCOOPS SUN2, Sunset Nearshore, NC",carocoops.sun2.buoy,NA,33.8300018311,-78.4800033569,2016-08-27T12:08:00Z,32.0838890076,False
