name,date_time,datum,height,lat,lon,quality_flags,sensor,sigma,station,water_surface_height_above_reference_datum,bad_station
"Duck, NC",2016-04-02T12:00:00Z,MLLW,5.663,36.1831,-75.7467,0;0;0;0,A1,0.134,8651370,0.058,False
"Oregon Inlet Marina, NC",2016-04-02T12:00:00Z,MLLW,0.788,35.7942,-75.5481,1;0;0;0,A1,0.002,8652587,0.332,False
"USCG Station Hatteras, NC",2016-04-02T12:00:00Z,MLLW,8.345,35.2086,-75.7042,1;0;0;0,A1,0.002,8654467,0.125,True
"Beaufort, NC",2016-04-02T12:00:00Z,MLLW,0.562,34.72,-76.67,1;0;0;0,A1,0.004,8656483,0.352,True
"Wilmington, NC",2016-04-02T12:00:00Z,MLLW,0.747,34.2275,-77.9536,0;0;0;0,A1,0.003,8658120,1.092,True
"Wrightsville Beach, NC",2016-04-02T12:00:00Z,MLLW,5.793,34.21,-77.7867,0;0;0;0,B1,0.147,8658163,0.153,False
"Springmaid Pier, SC",2016-04-02T12:00:00Z,MLLW,8.928,33.6556,-78.9164,0;0;0;0,A1,0.106,8661070,0.379,False
"Oyster Landing (N Inlet Estuary), SC",2016-04-02T12:00:00Z,MLLW,1.215,33.3517,-79.1867,0;0;0;0,A1,0.004,8662245,0.764,False
"Charleston, SC",2016-04-02T12:00:00Z,MLLW,0.843,32.7817,-79.925,1;0;0;0,A1,0.007,8665530,0.569,False
"Fort Pulaski, GA",2016-04-02T12:00:00Z,MLLW,1.066,32.0367,-80.9017,0;0;0;0,A1,0.01,8670870,0.858,False
"Fernandina Beach, FL",2016-04-02T12:00:00Z,MLLW,0.518,30.6714,-81.4658,0;0;0;0,Y1,0.013,8720030,0.933,False
"Mayport (Bar Pilots Dock), FL",2016-04-02T12:00:00Z,MLLW,2.763,30.3982,-81.4279,1;0;0;0,A1,0.008,8720218,0.586,False
"Dames Point, FL",2016-04-02T12:00:00Z,MLLW,1.151,30.3872,-81.5592,1;0;0;0,A1,0.003,8720219,0.716,False
"Southbank Riverwalk, St Johns River, FL",2016-04-02T12:00:00Z,MLLW,-0.418,30.32,-81.6583,0;0;0;0,Y1,0.004,8720226,0.545,False
"I-295 Bridge, St Johns River, FL",2016-04-02T12:00:00Z,MLLW,-0.198,30.1925,-81.6889,1;0;0;0,A1,0.005,8720357,0.295,False
"Red Bay Point, St Johns River, FL",2016-04-02T12:00:00Z,MLLW,-0.175,29.9783,-81.6283,1;0;0;0,Y1,0.004,8720503,0.208,False
"Racy Point, St Johns River, FL",2016-04-02T12:00:00Z,MLLW,-0.191,29.8017,-81.5483,1;0;0;0,A1,0.028,8720625,0.177,False
"Trident Pier, FL",2016-04-02T12:00:00Z,MLLW,5.48,28.4158,-80.5931,1;0;0;0,A1,0.007,8721604,0.303,False
"Lake Worth Pier, FL",2016-04-02T12:00:00Z,MLLW,9.142,26.6128,-80.0333,1;0;0;0,A1,0.071,8722670,0.348,False
"Virginia Key, FL",2016-04-02T12:00:00Z,MLLW,3.096,25.7314,-80.1617,1;0;0;0,A1,0.005,8723214,0.401,False
"Vaca Key, FL",2016-04-02T12:00:00Z,MLLW,0.775,24.7106,-81.1064,0;0;0;0,A1,0.002,8723970,0.099,False
"Key West, FL",2016-04-02T12:00:00Z,MLLW,1.39,24.5558,-81.8078,1;0;0;0,A1,0.01,8724580,0.41,False
"Fort Myers, FL",2016-04-02T12:00:00Z,MLLW,1.329,26.6475,-81.8711,1;0;0;0,A1,0.004,8725520,0.171,False
"Port Manatee, FL",2016-04-02T12:00:00Z,MLLW,0.062,27.6364,-82.5628,0;0;0;0,A1,0.012,8726384,0.436,False
"St Petersburg, FL",2016-04-02T12:00:00Z,MLLW,1.028,27.7611,-82.6269,0;0;0;0,Y1,0.005,8726520,0.408,True
"Old Port Tampa, FL",2016-04-02T12:00:00Z,MLLW,8.621,27.8578,-82.5519,0;0;0;0,A1,0.002,8726607,0.42,True
"Mckay Bay Entrance, FL",2016-04-02T12:00:00Z,MLLW,0.081,27.9139,-82.4244,1;0;0;0,A1,0.002,8726667,0.525,False
"Clearwater Beach, FL",2016-04-02T12:00:00Z,MLLW,0.528,27.9781,-82.8317,1;0;0;0,A1,0.095,8726724,0.664,False
"Cedar Key, FL",2016-04-02T12:00:00Z,MLLW,0.55,29.1339,-83.0308,1;0;0;0,A1,0.003,8727520,0.867,False
"Apalachicola, FL",2016-04-02T12:00:00Z,MLLW,1.307,29.7244,-84.9806,0;0;0;0,A1,0.001,8728690,0.306,False
"Panama City, FL",2016-04-02T12:00:00Z,MLLW,1.019,30.1522,-85.6669,1;0;0;0,A1,0.005,8729108,0.289,False
"Panama City Beach, FL",2016-04-02T12:00:00Z,MLLW,8.236,30.2139,-85.8786,1;0;0;0,A1,0.078,8729210,0.248,True
"Pensacola, FL",2016-04-02T12:00:00Z,MLLW,2.569,30.4044,-87.2111,1;0;0;0,A1,0.003,8729840,0.209,False
Tolomato River station,2016-00-02T12:00:00Z,,,29.9947223663,-81.3295593262,,NA,,fldep.tolomatoriver.,-0.293086528778,False
Melbourne station,2016-54-01T10:54:00Z,,,28.0836753845,-80.5919723511,,NA,,fldep.melbourne.,-0.248147383332,False
Vero Beach station,2016-00-02T13:00:00Z,,,27.6320552826,-80.3712234497,,NA,,fldep.verobeach.,-0.414295136929,False
Bing's Landing station,2016-00-02T12:00:00Z,,,29.6154174805,-81.2049179077,,NA,,fldep.bingslanding.,-0.236359611154,False
Naples Bay station,2016-00-02T12:00:00Z,,,26.1417789459,-81.7900543213,,NA,,fldep.naplesbay.,-0.118318423629,False
St Lucie Inlet station,2016-00-02T12:00:00Z,,,27.1652774811,-80.1627807617,,NA,,fldep.stlucieinlet.,-0.391623467207,False
Binney Dock station,2016-00-02T12:00:00Z,,,27.467546463,-80.3008499146,,NA,,fldep.binneydock.,-0.431142091751,False
Gordon River Inlet station,2016-54-01T10:54:00Z,,,26.0931396484,-81.7981414795,,NA,,fldep.gordonriverinlet.,-0.248147383332,False
Ponce De Leon South station,2016-00-02T12:00:00Z,,,29.0634727478,-80.9160842896,,NA,,fldep.poncedeleonsouth.,-0.294082790613,False
