name,station,sensor,lat,lon,date_time,salinity,bad_station
"Mayport (Bar Pilots Dock), FL",8720218,SALINITY,30.3967,-81.43,2016-04-09T12:00:00Z,24.94,False
"Dames Point, FL",8720219,SALINITY,30.3867,-81.5583,2016-04-09T12:00:00Z,16.96,False
"Jacksonville University, FL",8720245,SALINITY,30.3541,-81.6118,2016-04-09T12:00:00Z,10.5,False
"I-295 Bridge, St Johns River, FL",8720357,SALINITY,30.1917,-81.6917,2016-04-09T12:00:00Z,0.91,False
"Red Bay Point, St Johns River, FL",8720503,SALINITY,29.9783,-81.6283,2016-04-09T12:00:00Z,0.25,False
"Racy Point, St Johns River, FL",8720625,SALINITY,29.8017,-81.5483,2016-04-09T12:00:00Z,0.57,False
Tolomato River station,fldep.tolomatoriver.,NA,29.9947223663,-81.3295593262,2016-00-09T12:00:00Z,-522.259765625,False
Vero Beach station,fldep.verobeach.,NA,27.6320552826,-80.3712234497,2016-36-09T03:36:00Z,11.8396263123,False
Shell Point station,sccf.shellpoint.wq,NA,26.5225639343,-82.0079879761,2016-00-09T12:00:00Z,21.5391235352,False
Gulf of Mexico station,sccf.gulfofmexico.wq,NA,26.4430294037,-81.9711914062,2016-00-09T12:00:00Z,32.363571167,False
St Lucie Inlet station,fldep.stlucieinlet.,NA,27.1652774811,-80.1627807617,2016-00-09T12:00:00Z,-40.1578140259,False
Redfish Pass station,sccf.redfishpass.wq,NA,26.5615692139,-82.1754379272,2016-00-09T12:00:00Z,32.590763092,False
Fort Myers station,sccf.fortmyers.wq,NA,26.6493396759,-81.8809661865,2016-00-09T12:00:00Z,0.844637691975,False
Melbourne station,fldep.melbourne.,NA,28.0836753845,-80.5919723511,2016-00-09T04:00:00Z,14.5295724869,False
usf_c10_imet,usf.c10.imet,NA,27.1730003357,-82.9240036011,2016-35-09T11:35:00Z,34.907043457,False
"CORMP ILM2, Wrightsville Beach Nearshore, NC",cormp.ilm2.buoy,NA,34.1333007812,-77.7166976929,2016-53-09T11:53:00Z,34.3971557617,False
Bing's Landing station,fldep.bingslanding.,NA,29.6154174805,-81.2049179077,2016-54-09T11:54:00Z,-493.250396729,False
Tarpon Bay station,sccf.tarponbay.wq,NA,26.4679069519,-82.0631027222,2016-00-09T12:00:00Z,29.0434036255,False
"CAROCOOPS CAP2, Capers Island Nearshore, SC",carocoops.cap2.buoy,NA,32.7999992371,-79.6200027466,2016-08-09T12:08:00Z,32.8714866638,False
Binney Dock station,fldep.binneydock.,NA,27.467546463,-80.3008499146,2016-00-09T12:00:00Z,-473.690185547,False
Gordon River Inlet station,fldep.gordonriverinlet.,NA,26.0931396484,-81.7981414795,2016-00-09T04:00:00Z,13.4573402405,False
"CAROCOOPS SUN2, Sunset Nearshore, NC",carocoops.sun2.buoy,NA,33.8300018311,-78.4800033569,2016-08-09T12:08:00Z,25.9754219055,False
